latitude,longitude,frequency
42.346000000000004,-71.103,8
42.321,-71.053,29
42.327,-71.117,334
42.406,-71.134,6
42.293,-71.114,371
42.343,-71.07600000000001,25
42.375,-71.093,50
42.329,-71.08800000000001,1
42.296,-71.057,5
42.349000000000004,-71.08800000000001,1156
42.331,-71.112,4
42.336,-71.146,20
42.31,-71.036,3
42.372,-71.071,257
42.394,-71.128,17
42.517,-71.161,2
42.344,-71.11,13
42.332,-71.144,2
42.381,-71.099,2
42.36,-71.157,35
42.353,-71.159,19
42.327,-71.359,37
42.549,-71.167,1
42.365,-71.095,459
42.551,-71.178,1
42.287,-71.13,62
42.264,-71.292,1
42.342,-71.074,121
42.335,-71.07600000000001,2
42.301,-71.118,637
42.33,-71.136,30
42.341,-71.069,65
42.312,-71.047,775
42.372,-71.10000000000001,726
42.346000000000004,-71.075,129
42.336,-71.086,48
42.338,-71.074,36
42.355000000000004,-71.066,2735
42.447,-71.139,3
42.292,-71.101,9
42.397,-71.12,42
42.458,-71.054,7
42.367000000000004,-71.049,3
42.351,-71.074,2342
42.286,-71.135,45
42.329,-71.058,61
42.324,-71.342,20
43.085,-71.461,1
42.501,-71.159,2
42.36,-71.15,64
42.323,-71.057,20
42.34,-71.083,83
42.244,-71.032,3
42.341,-71.059,18
42.452,-71.051,8
42.289,-71.071,85
42.342,-71.093,3
42.259,-71.044,3
42.364000000000004,-71.056,1228
42.268,-71.14,101
42.33,-71.197,22
42.381,-71.117,1
42.354,-71.125,10
42.343,-71.07900000000001,149
42.268,-71.23,2
42.339,-71.083,46
42.349000000000004,-71.055,20
42.432,-70.996,4
42.391,-71.141,28
42.982,-71.372,1
42.324,-71.34700000000001,16
42.371,-71.108,65
42.362,-71.08200000000001,852
42.375,-71.063,65
42.373,-71.08200000000001,59
42.302,-71.116,4
42.424,-71.041,5
42.317,-71.124,1184
42.367000000000004,-71.077,12
42.349000000000004,-71.046,224
42.287,-71.072,550
42.401,-71.146,26
42.401,-71.136,6
42.33,-71.2,29
42.379,-71.103,27
42.353,-71.07000000000001,186
42.343,-71.059,46
42.364000000000004,-71.055,586
42.855000000000004,-71.28,1
42.346000000000004,-71.099,225
42.385,-71.112,42
42.343,-71.024,21
42.298,-71.127,3
42.347,-71.042,30
42.33,-71.248,11
42.387,-71.115,269
42.383,-71.107,356
42.398,-71.136,26
42.296,-71.098,941
42.362,-71.115,10
42.449,-71.068,9
42.501,-71.137,1
42.369,-71.061,2009
42.357,-71.07000000000001,701
42.363,-71.071,1345
42.518,-71.146,15
42.349000000000004,-71.08200000000001,1061
42.395,-71.118,27
42.454,-71.066,9
42.294000000000004,-71.13,290
42.732,-71.191,1
42.356,-71.09400000000001,942
42.36,-71.08200000000001,3562
42.355000000000004,-71.147,83
42.362,-71.062,1375
42.282000000000004,-71.046,363
43.056,-71.441,1
42.291000000000004,-71.111,1149
42.274,-71.146,472
42.357,-71.116,741
42.473,-70.923,7
42.523,-71.161,2
42.366,-71.07000000000001,944
42.567,-71.208,1
42.323,-71.20100000000001,1
42.303000000000004,-71.122,700
42.331,-71.188,13
42.386,-71.118,5
42.346000000000004,-71.105,800
42.299,-71.104,109
42.375,-71.129,22
42.353,-71.055,997
42.363,-71.07300000000001,2488
42.282000000000004,-71.071,2
42.391,-71.12,238
42.396,-71.143,22
42.358000000000004,-71.182,1
42.315,-71.04,1
42.311,-71.123,828
42.365,-71.136,33
42.432,-71.049,20
42.291000000000004,-71.217,2
42.34,-71.161,16
42.261,-71.098,124
42.38,-71.12,110
42.318,-71.113,118
42.362,-71.095,60
42.381,-71.09,30
42.277,-71.147,3
42.354,-71.112,735
42.399,-71.113,5
42.327,-71.23,26
42.317,-71.09700000000001,7
42.375,-71.116,46
42.332,-71.176,23
42.326,-71.235,25
42.222,-71.031,1
42.346000000000004,-71.037,11
42.361000000000004,-71.143,16
42.373,-71.118,126
42.755,-71.21000000000001,1
42.259,-71.262,1
42.468,-71.132,2
42.336,-71.011,10
42.369,-71.125,1
42.385,-71.099,18
42.501,-71.158,2
42.354,-71.102,897
42.616,-71.291,1
42.42,-71.179,10
42.342,-71.056,34
42.33,-71.115,1101
42.294000000000004,-71.131,727
42.442,-71.105,1
42.32,-71.051,47
42.271,-71.066,7
42.269,-71.072,6
42.622,-71.3,2
42.372,-71.131,132
42.351,-71.098,682
42.381,-71.113,68
42.416000000000004,-71.127,2
42.343,-71.086,142
42.344,-71.109,76
42.348,-71.081,342
42.305,-71.12,7
42.53,-71.104,1
42.332,-71.084,3
42.295,-71.125,15
42.336,-71.09700000000001,3
42.415,-71.048,9
42.410000000000004,-71.144,3
42.342,-71.102,1033
42.368,-71.10000000000001,92
42.347,-71.061,24
42.332,-71.10000000000001,25
42.384,-71.102,13
42.366,-71.058,230
42.297000000000004,-71.077,2
42.292,-71.096,5
42.373,-71.063,258
43.084,-71.461,1
42.326,-71.116,21
42.383,-71.113,271
42.278,-71.055,2
42.349000000000004,-71.039,546
42.365,-71.077,367
42.286,-71.14,32
42.300000000000004,-71.116,406
42.265,-71.235,1
42.336,-71.03,66
42.36,-71.146,5
42.356,-71.051,2138
42.383,-71.117,3
42.247,-71.039,1
42.381,-71.08,13
42.344,-71.024,25
42.324,-71.343,21
42.348,-71.048,520
42.361000000000004,-71.081,1777
